Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
Waldbad Rappottenstein;3911;Rappottenstein    ;Rappottenstein 107;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.518678;15.0929135
Landschaftsteich Grafenschlag;3912;Grafenschlag    ;Grafenschlag 47;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.5004107;15.1662397
Freibad Waldhausen;3914;Waldhausen;Waldhausen 4;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.5221216;15.260624
Saunabad Gerungs;3920;Groß Gerungs;Arbesbacher Straße 224;;;Hallenbad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.572006900000005;14.956453547509483
Freizeitanlage Frauenwieserteich;3921;Langschlag    ;Marktplatz 37;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.575038;14.884235
Badeteich Arbesbach;3925;Arbesbach    ;Arbesbach 121;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.4905019;14.956520019288536
Freizeitanlage Pfarrerteich;3931;Schweiggers    ;Sallingstadt;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.6802566;15.102299007376889
Naturbadeteichanlage Schweiggers;3931;Schweiggers    ;Schwarzenbacher Straße;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.665604;15.043184
Freizeitanlage Hirschbach;3942;Hirschbach    ;Dusswaldweg 44;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.73946745;15.126668315553303
Freibad Moorbad Schrems;3943;Schrems    ;Moorbadstraße;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.79551398790447;15.079446571896977
Hotel Leonardo;3945;Gmünd;Hauptstraße 110;;https://www.leonardo-hotels.de/about?utm_source=GoogleAds&utm_medium=CPC&utm_campaign=7Brand_GER&gclid=Cj0KCQjw7ZO0BhDYARIsAFttkCjzSNvyFthe9-JtmZScMbCBuVAHn8_otxpDOsg0jvRvNxN255600LEaAp-YEALw_wcB;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.74654985;15.046908423003401
Naturbadeteich Mitterteich;3945;Hoheneich    ;L8205;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.77422455095077;15.016333157707715
Gmünder Strandbad;3950;Gmünd    ;Strandbadweg 2;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.813766;14.96573
Sole Felsen Bad;3950;Gmünd    ;Albrechtser Straße 12;;https://www.solefelsenwelt.at/de/;Therme;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.757480150000006;14.991041936701745
Freizeitzentrum Hausschachen;3970;Weitra    ;Hausschachen 313;;https://www.hausschachen.at/;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.6897213;14.881982198132803
Hallenbad Weitra;3970;Weitra    ;Schubertstraße 209;;;Hallenbad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.704327;14.893891358082236
Holzmühlteich;3970;Lauterbach    ;Lauterbach 40;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.6969457;14.792848326719778
Xundheitswelt Harbach;3970;Harbach;Moorbad Harbach;;https://www.moorbad-harbach.at/ausflugsziele-in-moorbad-harbach/a-xundheitswelt;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.7084116;14.7924684
Naturbadeteich St. Martin;3971;St. Martin   ;Sankt Martin 1;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.6655196;14.8380983
Moorbad;3972;Bad Großpertholz;Bad Droßpertholz 72;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Alexander Plöchl;;;;;nein;nein;;;1;48.628546;14.821414
Moorbad Großpertholz;3972;Bad Großpertholz;Bad Großpertholz 72;;https://www.moorbad-badgrosspertholz.at/?gad_source=1&gclid=Cj0KCQjw7ZO0BhDYARIsAFttkCg39k5hIA8AqvFl6TBGuusCs5HTYfmSoLEsoHUSqeM85QrkpxyRLIUaAiqMEALw_wcB;Hotelanlage;Niederösterreich;Alexander Plöchl;;;;;nein;nein;;;1;48.628647;14.821382668877217
Stierhüblteich;3973;Karlstift    ;Karlstift 138;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.5873;14.781001
Olympiazentrum OÖ;4020;Linz;Auf der Gugl 30;;https://www.sport-ooe.at/;Frei- & Hallenbad;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.2928827;14.278888973856489
Pichlinger See;4020;Linz;Wiener Straße;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.291295;14.296523
Pleschinger See;4020;Linz;Seeweg;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.323756635773385;14.3237246110269
Wellnessoase Hummelhof;4020;Linz;Ramsauerstraße 12;;;Frei- & Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2756835;14.2903562
Saunaoase Ebelsberg;4030;Linz;Hartheimerstraße 1-3;;;Hallenbad;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.241085;14.329168
Weikerlsee;4030;Linz;Ebelsberg;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2449681;14.3300104
Badezentrum Traun;4050;Traun;Traunerstraße 25b;;https://www.traun.at/SPORT_FREIZEIT/Badezentrum_Traun;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.214851249999995;14.221658503096112
Badesee Greiter;4070;Pupping;Brandstatt 14;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.32642705;14.028742410248157
Erlebnisbad Eferding;4070;Eferding;Ludlgasse 11;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3083757;14.0266173
Freibad St. Marienkirchen;4076;Sankt Marienkirchen an der Polsenz;Badstraße 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.264978;13.927853
Hallenbad Haibach;4083;Haibach ob der Donau;Römerstraße 16;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.412962199999996;13.916507456578454
Erlebnisbad St. Agatha;4084;Sankt Agatha;Christoph-Zeller-Straße;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.385894;13.880893
BADESTRAND an der Donau in Wesenufer;4085;Waldkirchen am Wesen;Wesenufer 1;;https://hotel-wesenufer.at/;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.459014;13.809947
Freibad an der Donau Engelhartszell;4090;Engelhartszell;Nibelungenstraße 113;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.51203675;13.724830465919034
Badeplatz Kasten;4091;Vichtenstein;Kasten 100;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.547478;13.651546
Solarfreibad Esternberg;4092;Esternberg;Riedlbacher Straße 24;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.537753;13.579406
Donau - Grosse Rodl;4100;Ottensheim;Donaulaende 4;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.330707;14.1765069
Badeseen Feldkirchen an der Donau;4101;Feldkirchen an der Donau;Badeseestrasse 6;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.323944049999994;14.064958450000006
CURHAUS Bad Mühllacken;4101;Feldkirchen an der Donau;Bad Mühllacken 55;;https://www.curhaus.at/bad-muehllacken/unser-haus.html;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3654702;14.0642273
Naturbad Resilacke (Felsenbad);4115;Kleinzell im Mühlkreis;Kleinzell;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4561123;13.991386717089913
Freibad Neufelden;4120;Neufelden;Höferweg 43;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.48084660000001;13.995002720402683
Freibad Kirchberg;4131;Kirchberg ob der Donau;Ortsplatz 5;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.44404455;13.936606702571638
Erlebnisfreibad Lembach;4132;Lembach im Mühlkreis;Badgasse 5;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.49831725;13.892561560384632
Freibad Niederkappel;4133;Niederkappel;Schulstraße 8;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.465613250000004;13.8826600302184
Freibad Hofkirchen;4142;Hofkirchen im Mühlkreis;Falkensteinstraße 6;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4850447;13.802839397108901
Freibad Oberkappel;4144;Oberkappel;Leitenweg 9;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.552979;13.7694
Ranna-Badesee;4144;Oberkappel;Seestraße;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.55373798675066;13.766333860697127
Naturbad Sarleinsbach;4152;Sarleinsbach;Am Teichfeld 3;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.547392;13.89498
Freibad Kollerado Kollerschlag;4154;Kollerschlag;Schulweg 3;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.604083;13.843065
Frei- und Naturflussbad Aigen-Schlägl;4160;Aigen-Schlägl;Mühlweg 40;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.644656350000005;13.960234261545228
Hallenbad - Hotel Almesberger - auf Anfrage!;4160;Aigen-Schlägl;Marktplatz 4;;https://www.almesberger.at/;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.646267;13.9717173
Hallenbad - Landhotel Haagerhof;4160;Aigen-Schlägl;Diendorf 20;;https://www.haagerhof.com/neu2023/;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.65404;14.0066245
Hallenbad im AIGO - nur auf Anfrage!;4160;Aigen-Schlägl;Berghäusl 40;;;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.6566485;13.981967106897322
Naturbad Ulrichsberg;4161;Ulrichsberg;Markt 20;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.6749104;13.9123346
Vitalhallenbad Ulrichsberg;4161;Ulrichsberg;Schulgasse 8;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.675038799999996;13.908001941005875
Freibad Julbach;4162;Julbach;Mühltalstraße 20;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.656409499999995;13.867699193902979
Badesee Klaffer;4163;Klaffer am Hochficht;Seeweg 1;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.6975425;13.867022585275357
Freibad Schwarzenberg;4164;Schwarzenberg am Böhmerwald;Hauptstraße 17;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.73344;13.835686
Badestelle in der Furtmühle;4170;Haslach an der Mühl;Schwackerreith 20;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.60486;14.019696
Freizeitzentrum Kranzling;4170;Haslach an der Mühl;Kranzling 1;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.580881;14.038754
Naturbad Welset Pühret;4170;Haslach an der Mühl;Marktplatz 45;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5753845;14.041479
Naturbadesee St.Johann am Wimberg;4172;Sankt Johann am Wimberg;Mühlenweg 21;;;naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4854467;14.125400326044083
Naturbadeteich;4173;Sankt Veit im Mühlkreis;Schulstraße;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.46820307119339;14.161582080045124
Badeteich Biotop Neußerling;4175;Herzogsdorf;Neußerling 7;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.420911;14.16281
Freibad Oberneukirchen;4181;Oberneukirchen;Badstrasse 20;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.460691;14.224807
Freibad Aqua Leone Bad Leonfelden;4190;Bad Leonfelden;Badweg 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.519340850000006;14.28753420695266
Moor to see;4190;Bad Leonfelden;Hauptplatz 19;;;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5218051;14.2949799
Freibad Vorderweißenbach;4191;Vorderweißenbach;Bachstraße 3;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.55080285;14.220875563037218
Freibad Reichenthal;4193;Reichenthal;Ringstraße 9;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5440675;14.382532699714115
Rodltal mit Waldbad;4201;Gramastetten;Marktstraße 17;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3810666;14.1891563
Freibad Hellmonsödt;4202;Hellmonsödt;Badstraße 3;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4315213;14.304157674999999
Badesee Steyregg;4221;Steyregg;Im Freizeitpark 1;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.280572;14.366802
Hallenbad Pregarten;4230;Pregarten;Althauser Straße 10a;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3492834;14.531809388858695
Naturbadeplatz Hohensteg - Waldaist;4230;Tragwein;Meitschenhof 11;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.322534;14.565912
Flussbaden am Badeplatz im wildromantischen Thurytal;4240;Freistadt;Thurytal;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.520082;14.517402
Moby Dick Freistadt;4240;Freistadt;Bahnhofstrasse 6;;;Frei- & Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.506224;14.498494244893184
Hallenbad, Sauna, Dampfbad, Solarium Sandl;4251;Sandl;Graben 2/2;;https://hallenbad.sandl.at/;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5613459;14.643787
Naturbadeteich Rosenhof;4251;Sandl;Rosenhof;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.56334008698884;14.675241256815905
Hallenbad Liebenau;4252;Liebenau;Liebenau 78;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5328513;14.8068002
Rubener Teich beim Tannermoor;4252;Liebenau;Geierschlag 41;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.49934;14.853349
Badeteich Rainbach (Stadln);4261;Rainbach im Mühlkreis;Stadln 8;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5592441;14.490005414574213
Badeteich Leopoldschlag;4262;Leopoldschlag;Freiwaldstraße 8;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.61577665;14.507550908776913
Freizeitanlage Windhaag;4263;Windhaag bei Freistadt;Windhaag;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.585896;14.56057
Freiwaldteich Grünbach;4264;Grünbach;Am Teich 1;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.5374977;14.535594448483423
Freibad St. Oswald b. Fr.;4271;Sankt Oswald bei Freistadt;Promenade 4/b;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4991616;14.5920072
Freibad Weitersfelden;4272;Weitersfelden;Weitersfelden 11;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.477414;14.726705
"Gasthof Neulinger ""Zum Erzherzog Franz Salvator""";4272;Weitersfelden;Weitersfelden 3;;https://www.gasthof-neulinger.at/;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.477414;14.726705
Öffentliches Freibad mit Beachvolleyballplatz;4273;Unterweißenbach;Weißenbachtal 8;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4361674;14.78356170075348
Freibad Schönau i. M.;4274;Schönau im Mühlkreis;Almstraße 3a;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.396852;14.731785
Erlebnisbad Königswiesen;4280;Königswiesen;Badgasse 4;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.4047576;14.8406778
Königswiesen Hallenbad;4280;Königswiesen;Schulstrasse 46;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.41014;14.834434
Gesundheitszentrum Lebensquell Bad Zell;4283;Bad Zell;Lebensquellplatz 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.346733;14.671365
Lebensquell Bad Zell;4283;Bad Zell;Kurhausstraße 9;;https://www.alpenhof.com/de/aktiv/sommer.html?lp=gc7a&gad_source=1&gclid=CjwKCAjwyo60BhBiEiwAHmVLJem1VTpBAG5Mxo-0ixSTAeA4tZ9Q1ONb1HzwNV-uzBH_I2pnUTXzuRoCG3gQAvD_BwE;Hotelanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.346647;14.672768
Badesee Tragwein;4284;Tragwein;Erdleitener Straße 23;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.336003;14.622042492471044
Naturbadeplatz Reichenstein;4284;Tragwein;Reichenstein 1;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3642456;14.5807302
Familien- und Erlebnisbad SPLASH in Lasberg;4291;Lasberg;Am Sportplatz 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.474738099999996;14.544524325882731
Freibad Kefermarkt;4292;Kefermarkt;Neudörfl 3;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.44181695;14.533631393292378
 Freibad der Stadt St.Valentin;4300;St. Valentin   ;Perovitstraße 2;;;Freibad;Oberösterreich;Alexander Plöchl;;;ja;;nein;nein;;;1;48.172450350000005;14.521509026021963
Schulhallenbad;4312;Ried in der Riedmark;Schulstraße 18;;;Hallenbad;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.268652;14.528663
1a-Erlebnis Vitalwelt Perg;4320;Perg;Machlandstraße 47;;;Frei- & Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.24037;14.640920684848485
Erlebnis Natur-Waldbad Perg;4320;Perg;Badgasse 9;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2530826;14.6366973
Badesee in Rechberg;4324;Rechberg;Rechberg 17;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.32193785;14.714994647022332
Naturpark Mühlviertel;4324;Rechberg;Rechberg 9;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.3223453;14.7112033
Badesee Mitterkirchen;4343;Mitterkirchen im Machland;Weisching 16;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.1863602;14.6802557
CURHAUS Bad Kreuzen - 1. Zentrum für Traditionelle Europä...;4362;Bad Kreuzen;Bad Kreuzen 106;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2691211;14.8069341
Erlebnisbad Bad Kreuzen;4362;Bad Kreuzen;Bad Kreuzen 163;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.261955900000004;14.809507666777407
Freizeitteich mit Beachvolleyball Platz;4372;Sankt Georgen am Walde;Teichweg;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.361963;14.89913
Klausteich;4372;Sankt Georgen am Walde;Markt 9;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.359292;14.897138
Freibad Sankt Nikola;4381;Sankt Nikola an der Donau;Marktplatz 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.231076;14.898178
Badesee Waldhausen;4391;Waldhausen im Strudengau;Schlossberg;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.27775763538136;14.94662767503295
Angerhof;4392;Dorfstetten;Forstamt 9;;https://angerhof.at/;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;07260 8202;;1;48.32650875;14.983035163615197
Hallen- und Freibad Steyr;4400;Steyr;Haratzmuellerstrasse 126;;;Frei- & Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.04704385;14.442695709969088
Naturparadies Unterhimmler Au;4400;Steyr;Unterhimmler Straße;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.04177456383706;14.381754164762787
Schwimmschule Steyr;4400;Steyr;Wehrgrabengasse 61;;http://wp.schwimmschule-steyr.at/;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.042408;14.406296
Freibad Ternberg;4452;Ternberg;Sportplatzstraße 5;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.93916515;14.353505386482128
Erlebnisbad Losenstein;4460;Losenstein;Anton Schosserweg 37;planmäßige Wiedereröffnung Mitte Oktober 2024;https://www.hallenbad-losenstein.at/;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.927599099999995;14.432813423166959
Erlebnisbad Laussa;4461;Laussa;Stoderstraße 13;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.95399725;14.456844671867039
Arena Schallau;4462;Reichraming;Schallau 3;;;Naturbadeanlage Plus;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.885519;14.451656517630223
Frei.sicht.Bad Großraming;4463;Großraming;Grossraming 17;;https://www.freisichtbad.at/;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.88593255;14.551688518783418
Seewiese Kleinreifling;4464;Kleinreifling;Nach der Enns;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.81667;14.63333
Hohenlohe AU-SEE;4470;Enns;Schmidberg 2;;https://www.ausee.at/;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2149791;14.475726
Wasserski- und Wakeboardlift Ausee Cable;4481;Asten;Auseestraße 3;;https://www.ausee-cable.at/;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.2202092;14.4214667
Freibad St.Florian;4490;Sankt Florian;Badstraße 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.20210845;14.376597051217535
Freizeit Zentrum Neuhofen ;4501;Neuhofen an der Krems;Sportallee 60;;;Freibad ;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.13231495;14.231764762539036
Freibad Sierning;4522;Sierning;Franz-Steer-Weg 3;;;Freibad;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.041798;14.31331
Freibad Pfarrkirchen bei Bad Hall;4540;Pfarrkirchen bei Bad Hall;Schwimmbadstrasse 15;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.0322366;14.203988948602376
KBB Klinikum Bad Hall;4540;Bad Hall;Parkstraße 12;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.0284767;14.212684557159303
Sonnenpark - Rehazentrum für psychosoz. Gesundheit;4540;Bad Hall;Parkstraße 14;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.02784065;14.21178821684426
Therme Mediterrana & Relaxium Bad Hall;4540;Bad Hall;Kurhausstraße 10;;https://www.eurothermen.at/bad-hall/therme-mediterrana/;Therme;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.03470075;14.20534882685224
Erlebnisfreibad Kremsmünster;4550;Kremsmünster;Dr.-Watzenböck-Gasse 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;48.05046075;14.130136675966153
Landhotel Schicklberg;4550;Kremsmünster ;Schicklberg 1;;https://www.schicklberg.at/;Hotelanlage;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.07849;14.162893
Hallenbad der Stadt Kirchdorf;4560;Kirchdorf an der Krems;A. Stifter Straße 4;;;Hallenbad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.904779000000005;14.125804386597768
Parkbad;4560;Kirchdorf an der Krems;Parkbadgasse 2;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.907189900000006;14.129344563502872
Freibad Klaus;4564;Klaus an der Pyhrnbahn;Nr. 100;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.8319921;14.1573375
Badebiotop Steyrling;4571;Steyrling; Nr. 139 ;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.8061192;14.1296505
Elisabethsee;4572;Sankt Pankraz;Kniewas 37;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.776424;14.169498
Freibad Hinterstoder;4573;Hinterstoder;Freizeitpark 1;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.7014544;14.1571627
Schafferteich Naturbadeteich;4574;Vorderstoder;Nr. 66;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.7127562;14.2250312
Naturjuwel Gleinkersee;4575;Roßleithen;Gleinkersee 2;;;Naturbadeanlage;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.69062;14.295923
Dilly - das Nationalpark Resort;4580;Windischgarsten;Pyhrnstraße 14;;https://www.dilly.at/de/wellnesshotel-ober%C3%B6sterreich/1-0.html;Hotelanlage;Oberösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;47.7191988;14.331415466924266
Freibad Windischgarsten;4580;Windischgarsten;Museumsstraße 7;;;Freibad;Oberösterreich;Petra Freilinger ;;;;;nein;nein;;;1;47.720517;14.332723
